id,unique,song_duration,popularity,tone,genre
the 1,1,3.32,"531,258,413",happy,folk
cardigan,2,4.01,"1,175,236,934",angry,folk
the last great american dynasty,3,3.51,"56,900,442",happy,folk
exile (feat. bon iver),4,4.47,"138,590,636",angry,folk
my tears ricochet,5,4.17,"52,204,523",mornful,folk
mirrorball,6,3.3,"40,312,336",happy,folk
seven,7,3.3,"38,955,832",mornful,folk
august,8,4.23,"619,549,518",happy,folk
this is me trying,9,3.16,"35,482,141",mornful,folk
illicit affairs,10,3.12,"36,122,776",angry,folk
invisible string,11,4.14,"40,441,282",happy,folk
mad woman,12,3.57,"28,049,051",angry,folk
epiphany,13,4.51,"24,686,308",mornful,folk
betty,14,4.55,"38,765,632",happy,folk
peace,15,3.54,"23,729,893",angry,folk
hoax,16,3.41,"19,861,967",sad,folk
karma,17,3.25,"591,014,183",happy,pop
last kiss (taylor's version),18,6.09,"14,723,624",mornful,pop
you belong with me (taylor's version),19,3.51,"155,095,031",happy,country
long live (taylor's version) ,20,5.18,"21,124,243",happy,pop
now that we don't talk (taylor's version) ,21,2.27,"163,675,748",angry,pop
high infidelity,22,3.52,"40,177,476",angry,pop
look what you made me do,23,3.32,"321,317,951",angry,pop
castles crumbling (taylor's version),24,5.06,"20,095,746",sad,pop
the last time ,25,4.59,"12,895,010",angry,alternative rock
miss americana and the heartbreak prince ,26,3.54,"29,058,467",happy,pop
bigger than the whole sky,27,3.38,"51,907,704",sad,pop
mr. perfectly fine (taylor's version),28,4.37,"54,087,967",angry,pop
all too well (10 minute version) (taylor's version),29,10.13,"363,121,522",angry,pop
daylight,30,4.53,"64,771,958",happy,pop
